league_id,name,team_id,team_long_name
7809,"Germany 1. Bundesliga",8357,"SpVgg Greuther Fürth"
7809,"Germany 1. Bundesliga",9776,"Eintracht Braunschweig"
7809,"Germany 1. Bundesliga",8460,"SC Paderborn 07"
7809,"Germany 1. Bundesliga",8234,"FC Ingolstadt 04"
7809,"Germany 1. Bundesliga",8262,"SV Darmstadt 98"
10257,"Italy Serie A",8524,Atalanta
10257,"Italy Serie A",8551,Siena
10257,"Italy Serie A",8529,Cagliari
10257,"Italy Serie A",8543,Lazio
10257,"Italy Serie A",8530,Catania
10257,"Italy Serie A",10233,Genoa
10257,"Italy Serie A",8533,"Chievo Verona"
10257,"Italy Serie A",8690,"Reggio Calabria"
10257,"Italy Serie A",8535,Fiorentina
10257,"Italy Serie A",9885,Juventus
10257,"Italy Serie A",8564,Milan
10257,"Italy Serie A",9857,Bologna
10257,"Italy Serie A",8686,Roma
10257,"Italy Serie A",9875,Napoli
10257,"Italy Serie A",9882,Sampdoria
10257,"Italy Serie A",8636,Inter
10257,"Italy Serie A",9804,Torino
10257,"Italy Serie A",9888,Lecce
10257,"Italy Serie A",8600,Udinese
10257,"Italy Serie A",8540,Palermo
10257,"Italy Serie A",9976,Bari
10257,"Italy Serie A",8537,Livorno
10257,"Italy Serie A",10167,Parma
10257,"Italy Serie A",9880,Cesena
10257,"Italy Serie A",9858,Brescia
10257,"Italy Serie A",6269,Novara
10257,"Italy Serie A",9878,Pescara
10257,"Italy Serie A",9876,"Hellas Verona"
10257,"Italy Serie A",7943,Sassuolo
10257,"Italy Serie A",8534,Empoli
10257,"Italy Serie A",9891,Frosinone
10257,"Italy Serie A",208931,Carpi
13274,"Netherlands Eredivisie",8277,Vitesse
13274,"Netherlands Eredivisie",8674,"FC Groningen"
13274,"Netherlands Eredivisie",9803,"Roda JC Kerkrade"
13274,"Netherlands Eredivisie",8611,"FC Twente"
13274,"Netherlands Eredivisie",8525,"Willem II"
13274,"Netherlands Eredivisie",8593,Ajax
13274,"Netherlands Eredivisie",8464,N.E.C.
13274,"Netherlands Eredivisie",8526,"De Graafschap"
13274,"Netherlands Eredivisie",9908,"FC Utrecht"
13274,"Netherlands Eredivisie",8640,PSV
13274,"Netherlands Eredivisie",9791,"Heracles Almelo"
13274,"Netherlands Eredivisie",10235,Feyenoord
13274,"Netherlands Eredivisie",8614,"Sparta Rotterdam"
13274,"Netherlands Eredivisie",10217,"ADO Den Haag"
13274,"Netherlands Eredivisie",6601,"FC Volendam"
13274,"Netherlands Eredivisie",10228,"SC Heerenveen"
13274,"Netherlands Eredivisie",10229,AZ
13274,"Netherlands Eredivisie",9761,"NAC Breda"
13274,"Netherlands Eredivisie",10219,"RKC Waalwijk"
13274,"Netherlands Eredivisie",9839,VVV-Venlo
13274,"Netherlands Eredivisie",10218,Excelsior
13274,"Netherlands Eredivisie",6413,"PEC Zwolle"
13274,"Netherlands Eredivisie",7788,"SC Cambuur"
13274,"Netherlands Eredivisie",6433,"Go Ahead Eagles"
13274,"Netherlands Eredivisie",6631,"FC Dordrecht"
15722,"Poland Ekstraklasa",10265,"Wisła Kraków"
15722,"Poland Ekstraklasa",8031,"Polonia Bytom"
15722,"Poland Ekstraklasa",8020,"Polonia Bytom"
15722,"Poland Ekstraklasa",1601,"Ruch Chorzów"
15722,"Poland Ekstraklasa",8673,"Legia Warszawa"
15722,"Poland Ekstraklasa",2183,"P. Warszawa"
15722,"Poland Ekstraklasa",8025,"Śląsk Wrocław"
15722,"Poland Ekstraklasa",8030,"Lechia Gdańsk"
15722,"Poland Ekstraklasa",8244,"Widzew Łódź"
15722,"Poland Ekstraklasa",8242,"Odra Wodzisław"
15722,"Poland Ekstraklasa",2182,"Lech Poznań"
15722,"Poland Ekstraklasa",8569,"GKS Bełchatów"
15722,"Poland Ekstraklasa",8322,"Arka Gdynia"
15722,"Poland Ekstraklasa",1957,"Jagiellonia Białystok"
15722,"Poland Ekstraklasa",8028,"Piast Gliwice"
15722,"Poland Ekstraklasa",2186,Cracovia
15722,"Poland Ekstraklasa",8245,"Korona Kielce"
15722,"Poland Ekstraklasa",8021,"Zagłębie Lubin"
15722,"Poland Ekstraklasa",8024,"Widzew Łódź"
15722,"Poland Ekstraklasa",8033,"Podbeskidzie Bielsko-Biała"
15722,"Poland Ekstraklasa",8023,"Pogoń Szczecin"
15722,"Poland Ekstraklasa",8027,"Zawisza Bydgoszcz"
15722,"Poland Ekstraklasa",8019,"Górnik Łęczna"
15722,"Poland Ekstraklasa",177361,"Termalica Bruk-Bet Nieciecza"
17642,"Portugal Liga ZON Sagres",9773,"FC Porto"
17642,"Portugal Liga ZON Sagres",9807,"CF Os Belenenses"
17642,"Portugal Liga ZON Sagres",9768,"Sporting CP"
17642,"Portugal Liga ZON Sagres",7992,Trofense
17642,"Portugal Liga ZON Sagres",7844,"Vitória Guimarães"
17642,"Portugal Liga ZON Sagres",10238,"Vitória Setúbal"
17642,"Portugal Liga ZON Sagres",6403,"FC Paços de Ferreira"
17642,"Portugal Liga ZON Sagres",10264,"SC Braga"
17642,"Portugal Liga ZON Sagres",10213,Amadora
17642,"Portugal Liga ZON Sagres",10215,"Académica de Coimbra"
17642,"Portugal Liga ZON Sagres",7841,"Rio Ave FC"
17642,"Portugal Liga ZON Sagres",9772,"SL Benfica"
17642,"Portugal Liga ZON Sagres",6421,"Leixões SC"
17642,"Portugal Liga ZON Sagres",10214,"CD Nacional"
17642,"Portugal Liga ZON Sagres",9809,"Naval 1° de Maio"
17642,"Portugal Liga ZON Sagres",10212,"CS Marítimo"
17642,"Portugal Liga ZON Sagres",9771,"União de Leiria, SAD"
17642,"Portugal Liga ZON Sagres",2033,"S.C. Olhanense"
17642,"Portugal Liga ZON Sagres",9765,Portimonense
17642,"Portugal Liga ZON Sagres",10211,"SC Beira Mar"
17642,"Portugal Liga ZON Sagres",4064,Feirense
17642,"Portugal Liga ZON Sagres",9764,"Gil Vicente FC"
17642,"Portugal Liga ZON Sagres",8348,"Moreirense FC"
17642,"Portugal Liga ZON Sagres",7842,"Estoril Praia"
17642,"Portugal Liga ZON Sagres",158085,"FC Arouca"
17642,"Portugal Liga ZON Sagres",6547,"FC Penafiel"
17642,"Portugal Liga ZON Sagres",8613,"Boavista FC"
17642,"Portugal Liga ZON Sagres",6367,"Uniao da Madeira"
17642,"Portugal Liga ZON Sagres",188163,Tondela
19694,"Scotland Premier League",8596,Falkirk
19694,"Scotland Premier League",8548,Rangers
19694,"Scotland Premier League",9860,"Heart of Midlothian"
19694,"Scotland Premier League",9927,Motherwell
19694,"Scotland Premier League",8597,Kilmarnock
19694,"Scotland Premier League",10251,Hibernian
19694,"Scotland Premier League",8485,Aberdeen
19694,"Scotland Premier League",8066,"Inverness Caledonian Thistle"
19694,"Scotland Premier League",9925,Celtic
19694,"Scotland Premier League",9800,"St. Mirren"
19694,"Scotland Premier League",8429,"Hamilton Academical FC"
19694,"Scotland Premier League",9938,"Dundee United"
19694,"Scotland Premier League",8467,"St. Johnstone FC"
19694,"Scotland Premier League",8457,"Dunfermline Athletic"
19694,"Scotland Premier League",8284,"Dundee FC"
19694,"Scotland Premier League",8649,"Ross County FC"
19694,"Scotland Premier League",8426,"Partick Thistle F.C."
21518,"Spain LIGA BBVA",10267,"Valencia CF"
21518,"Spain LIGA BBVA",8661,"RCD Mallorca"
21518,"Spain LIGA BBVA",8371,"CA Osasuna"
21518,"Spain LIGA BBVA",10205,"Villarreal CF"
21518,"Spain LIGA BBVA",9783,"RC Deportivo de La Coruña"
21518,"Spain LIGA BBVA",8633,"Real Madrid CF"
21518,"Spain LIGA BBVA",8388,"CD Numancia"
21518,"Spain LIGA BBVA",8634,"FC Barcelona"
21518,"Spain LIGA BBVA",8696,"Racing Santander"
21518,"Spain LIGA BBVA",8302,"Sevilla FC"
21518,"Spain LIGA BBVA",9869,"Real Sporting de Gijón"
21518,"Spain LIGA BBVA",8305,"Getafe CF"
21518,"Spain LIGA BBVA",8603,"Real Betis Balompié"
21518,"Spain LIGA BBVA",8479,"RC Recreativo"
21518,"Spain LIGA BBVA",8558,"RCD Espanyol"
21518,"Spain LIGA BBVA",10281,"Real Valladolid"
21518,"Spain LIGA BBVA",8315,"Athletic Club de Bilbao"
21518,"Spain LIGA BBVA",9865,"UD Almería"
21518,"Spain LIGA BBVA",9906,"Atlético Madrid"
21518,"Spain LIGA BBVA",9864,"Málaga CF"
21518,"Spain LIGA BBVA",9868,"Xerez Club Deportivo"
21518,"Spain LIGA BBVA",8394,"Real Zaragoza"
21518,"Spain LIGA BBVA",9867,"CD Tenerife"
21518,"Spain LIGA BBVA",10278,"Hércules Club de Fútbol"
21518,"Spain LIGA BBVA",8581,"Levante UD"
21518,"Spain LIGA BBVA",8560,"Real Sociedad"
21518,"Spain LIGA BBVA",7878,"Granada CF"
21518,"Spain LIGA BBVA",8370,"Rayo Vallecano"
21518,"Spain LIGA BBVA",9910,"RC Celta de Vigo"
21518,"Spain LIGA BBVA",10268,"Elche CF"
21518,"Spain LIGA BBVA",8372,"SD Eibar"
21518,"Spain LIGA BBVA",7869,"Córdoba CF"
21518,"Spain LIGA BBVA",8306,"UD Las Palmas"
24558,"Switzerland Super League",9956,"Grasshopper Club Zürich"
24558,"Switzerland Super League",6493,"AC Bellinzona"
24558,"Switzerland Super League",10192,"BSC Young Boys"
24558,"Switzerland Super League",9931,"FC Basel"
24558,"Switzerland Super League",9930,"FC Aarau"
24558,"Switzerland Super League",10179,"FC Sion"
24558,"Switzerland Super League",10199,"FC Luzern"
24558,"Switzerland Super League",9824,"FC Vaduz"
24558,"Switzerland Super League",7955,"Neuchâtel Xamax"
24558,"Switzerland Super League",10243,"FC Zürich"
24558,"Switzerland Super League",10190,"FC St. Gallen"
24558,"Switzerland Super League",10191,"FC Thun"
24558,"Switzerland Super League",9777,"Servette FC"
24558,"Switzerland Super League",7730,"FC Lausanne-Sports"
24558,"Switzerland Super League",7896,Lugano
