league_id,team_id,Team Name,player_api_id,player_name,Player Rating,Finishing,Acceleration,Interceptions,Marking,Positioning
17642,6403,GFC Ajaccio,163824,Josue,77,71,83,55,56,74
13274,6413,GFC Ajaccio,209413,Ben Rienstra,72,62,66,70,67,65
13274,6413,GFC Ajaccio,158841,Darryl Lachman,72,43,75,74,75,38
13274,6413,GFC Ajaccio,41165,Dirk Marcellis,75,25,66,79,80,70
13274,6413,GFC Ajaccio,186837,Jesper Drost,73,71,74,62,65,71
13274,6413,GFC Ajaccio,110214,Joey van den Berg,72,61,67,65,66,65
13274,6413,GFC Ajaccio,186847,Kamohelo Mokotjo,75,65,76,78,69,63
13274,6413,GFC Ajaccio,243937,Lars Veldwijk,72,73,66,25,25,71
13274,6413,GFC Ajaccio,112477,Maikel van der Werff,73,39,70,77,76,30
13274,6413,GFC Ajaccio,159342,Mateusz Klich,72,65,72,59,43,69
13274,6413,GFC Ajaccio,244458,Mustafa Saymak,72,67,85,59,41,66
17642,6421,GFC Ajaccio,45244,Antunes,76,55,85,79,75,73
17642,6421,GFC Ajaccio,97498,Beto,81,25,60,54,25,35
17642,6421,GFC Ajaccio,150038,Braga,73,69,77,76,31,73
17642,6421,GFC Ajaccio,19393,Diego,73,22,32,25,24,16
17642,6421,GFC Ajaccio,40968,Diogo Valente,73,60,85,73,58,72
17642,6421,GFC Ajaccio,181357,Fabio Espinho,73,69,75,54,31,73
17642,6421,GFC Ajaccio,150024,Fernando Alexandre,73,51,72,78,69,72
13274,6433,GFC Ajaccio,352023,Deniz Tueruec,71,61,77,64,63,60
13274,6433,GFC Ajaccio,150242,Eloy Room,74,25,64,48,25,58
13274,6433,GFC Ajaccio,112471,Erik Falkenburg,70,74,71,65,54,76
13274,6433,GFC Ajaccio,45839,Glynor Plet,71,76,68,29,20,76
13274,6433,GFC Ajaccio,215005,Jarchinio Antonia,70,60,94,51,27,60
13274,6433,GFC Ajaccio,21765,Jop van der Linden,72,33,52,77,76,36
24558,6493,GFC Ajaccio,34319,Aimo Stefano Diana,79,73,81,81,64,82
24558,6493,GFC Ajaccio,39633,Haouliais Axel Cedric Konan,76,77,82,52,25,61
24558,6493,GFC Ajaccio,39266,Mark Edusei,70,57,75,74,69,78
24558,6493,GFC Ajaccio,39492,Maurizio Ciaramitaro,75,68,72,78,53,76
24558,6493,GFC Ajaccio,30939,Mauro Lustrinelli,73,74,67,73,38,72
17642,6547,GFC Ajaccio,281864,Aldair,69,61,82,26,20,62
17642,6547,GFC Ajaccio,150267,Andre Fontes,70,56,68,56,50,68
17642,6547,GFC Ajaccio,150038,Braga,73,69,77,76,31,73
17642,6547,GFC Ajaccio,213885,Ezequiel Calvente,69,54,91,25,26,58
17642,6547,GFC Ajaccio,102716,Helder Tiago Guedes,72,74,69,25,29,75
13274,6601,GFC Ajaccio,101042,Aaron Meijers,69,63,77,67,67,67
13274,6601,GFC Ajaccio,150248,Furdjel Narsingh,68,62,86,23,32,63
13274,6601,GFC Ajaccio,5686,Gerry Koning,65,49,66,69,67,60
13274,6601,GFC Ajaccio,5044,Jeroen Verhoeven,68,25,60,25,58,25
13274,6601,GFC Ajaccio,99306,Melvin Platje,67,71,69,35,47,69
13274,6631,GFC Ajaccio,37185,Andwele Slory,70,67,87,54,27,55
13274,6631,GFC Ajaccio,171786,Funso Ojo,68,63,76,65,73,67
13274,6631,GFC Ajaccio,357230,Giovanni Korte,67,66,86,30,22,65
13274,6631,GFC Ajaccio,422121,Joris van Overeem,71,47,76,57,66,64
13274,6631,GFC Ajaccio,180784,Marvin Peersman,68,39,70,72,65,45
24558,7730,GFC Ajaccio,170660,Ante Vukusic,73,74,82,25,25,77
24558,7730,GFC Ajaccio,94313,Chris Malonga,74,73,90,66,21,79
