league_id,season,team_api_id,team_long_name,avg_home_goals_team,avg_home_goals_league,avg_away_goals_team,avg_away_goals_league
1,2013/2014,8573,"KV Oostende",1.00,1.71,1.33,0.25
1,2014/2015,9985,"Standard de Liège",1.73,1.71,1.53,0.69
1,2014/2015,8475,Waasland-Beveren,0.80,1.71,1.20,0.69
1,2014/2015,9984,"KSV Cercle Brugge",0.73,1.71,0.67,0.69
1,2014/2015,9989,"Lierse SK",1.20,1.71,0.80,0.69
1,2014/2015,10001,"KVC Westerlo",1.67,1.71,1.13,0.69
1,2014/2015,8203,"KV Mechelen",1.40,1.71,1.07,0.69
1,2014/2015,8635,"RSC Anderlecht",1.67,1.71,1.73,0.69
1,2014/2015,10000,"SV Zulte-Waregem",1.27,1.71,1.47,0.69
1,2014/2015,8342,"Club Brugge KV",2.47,1.71,2.13,0.69
1,2014/2015,9986,"Sporting Charleroi",1.53,1.71,1.40,0.69
1,2014/2015,274581,"Royal Excel Mouscron",1.53,1.71,0.60,0.69
1,2014/2015,9994,"Sporting Lokeren",1.80,1.71,0.73,0.69
1,2014/2015,9987,"KRC Genk",1.67,1.71,0.87,0.69
1,2014/2015,9991,"KAA Gent",2.00,1.71,1.47,0.69
1,2014/2015,8573,"KV Oostende",1.60,1.71,1.07,0.69
1,2014/2015,8571,"KV Kortrijk",2.00,1.71,1.60,0.69
1,2015/2016,9997,"Sint-Truidense VV",1.13,1.71,0.73,1.06
1,2015/2016,8571,"KV Kortrijk",1.27,1.71,0.80,1.06
1,2015/2016,9987,"KRC Genk",2.13,1.71,0.67,1.06
1,2015/2016,8573,"KV Oostende",2.33,1.71,1.33,1.06
1,2015/2016,10000,"SV Zulte-Waregem",2.00,1.71,1.40,1.06
1,2015/2016,10001,"KVC Westerlo",1.13,1.71,1.20,1.06
1,2015/2016,8635,"RSC Anderlecht",1.93,1.71,1.47,1.06
1,2015/2016,9986,"Sporting Charleroi",1.33,1.71,1.07,1.06
1,2015/2016,9991,"KAA Gent",2.33,1.71,1.40,1.06
1,2015/2016,1773,"Oud-Heverlee Leuven",1.53,1.71,1.27,1.06
1,2015/2016,8342,"Club Brugge KV",2.80,1.71,1.47,1.06
1,2015/2016,9985,"Standard de Liège",1.47,1.71,1.27,1.06
1,2015/2016,8203,"KV Mechelen",1.87,1.71,1.33,1.06
1,2015/2016,274581,"Royal Excel Mouscron",1.20,1.71,1.40,1.06
1,2015/2016,9994,"Sporting Lokeren",1.07,1.71,1.27,1.06
1,2015/2016,8475,Waasland-Beveren,1.27,1.71,1.40,1.06
1729,2008/2009,10260,"Manchester United",2.26,1.45,1.32,1.15
1729,2008/2009,9825,Arsenal,1.63,1.45,1.95,1.15
1729,2008/2009,8472,Sunderland,1.11,1.45,0.68,1.15
1729,2008/2009,8654,"West Ham United",1.21,1.45,1.00,1.15
1729,2008/2009,10252,"Aston Villa",1.42,1.45,1.42,1.15
1729,2008/2009,8668,Everton,1.63,1.45,1.26,1.15
1729,2008/2009,8549,Middlesbrough,0.89,1.45,0.58,1.15
1729,2008/2009,8559,"Bolton Wanderers",1.11,1.45,1.05,1.15
1729,2008/2009,8667,"Hull City",0.95,1.45,1.11,1.15
1729,2008/2009,8455,Chelsea,1.74,1.45,1.84,1.15
1729,2008/2009,10194,"Stoke City",1.16,1.45,0.84,1.15
1729,2008/2009,8650,Liverpool,2.16,1.45,1.89,1.15
1729,2008/2009,10261,"Newcastle United",1.26,1.45,0.84,1.15
1729,2008/2009,9879,Fulham,1.47,1.45,0.58,1.15
1729,2008/2009,8586,"Tottenham Hotspur",1.11,1.45,1.26,1.15
1729,2008/2009,8659,"West Bromwich Albion",1.37,1.45,0.53,1.15
1729,2008/2009,8462,Portsmouth,1.37,1.45,0.63,1.15
1729,2008/2009,8456,"Manchester City",2.11,1.45,0.95,1.15
1729,2008/2009,8655,"Blackburn Rovers",1.16,1.45,0.95,1.15
1729,2008/2009,8528,"Wigan Athletic",0.89,1.45,0.89,1.15
1729,2009/2010,10260,"Manchester United",2.74,1.45,1.79,1.35
1729,2009/2010,8586,"Tottenham Hotspur",2.11,1.45,1.42,1.35
1729,2009/2010,10252,"Aston Villa",1.53,1.45,1.21,1.35
1729,2009/2010,8668,Everton,1.84,1.45,1.32,1.35
1729,2009/2010,8602,"Wolverhampton Wanderers",0.68,1.45,1.00,1.35
1729,2009/2010,8655,"Blackburn Rovers",1.47,1.45,0.68,1.35
1729,2009/2010,8559,"Bolton Wanderers",1.37,1.45,0.84,1.35
1729,2009/2010,8462,Portsmouth,1.26,1.45,0.53,1.35
1729,2009/2010,10194,"Stoke City",1.26,1.45,0.53,1.35
1729,2009/2010,8455,Chelsea,3.58,1.45,1.84,1.35
1729,2009/2010,8191,Burnley,1.32,1.45,0.89,1.35
1729,2009/2010,8658,"Birmingham City",1.00,1.45,1.00,1.35
1729,2009/2010,8654,"West Ham United",1.58,1.45,0.89,1.35
1729,2009/2010,8667,"Hull City",1.16,1.45,0.63,1.35
1729,2009/2010,8650,Liverpool,2.26,1.45,0.95,1.35
1729,2009/2010,8456,"Manchester City",2.16,1.45,1.68,1.35
1729,2009/2010,9879,Fulham,1.42,1.45,0.63,1.35
1729,2009/2010,9825,Arsenal,2.53,1.45,1.84,1.35
1729,2009/2010,8472,Sunderland,1.68,1.45,0.84,1.35
1729,2009/2010,8528,"Wigan Athletic",1.00,1.45,0.95,1.35
1729,2010/2011,10252,"Aston Villa",1.37,1.45,1.16,0.85
1729,2010/2011,8655,"Blackburn Rovers",1.16,1.45,1.26,0.85
1729,2010/2011,8559,"Bolton Wanderers",1.79,1.45,0.95,0.85
1729,2010/2011,8455,Chelsea,2.05,1.45,1.58,0.85
1729,2010/2011,8650,Liverpool,1.95,1.45,1.16,0.85
1729,2010/2011,10260,"Manchester United",2.58,1.45,1.53,0.85
1729,2010/2011,8472,Sunderland,1.32,1.45,1.05,0.85
1729,2010/2011,8586,"Tottenham Hotspur",1.58,1.45,1.32,0.85
1729,2010/2011,8602,"Wolverhampton Wanderers",1.58,1.45,0.84,0.85
1729,2010/2011,8528,"Wigan Athletic",1.16,1.45,0.95,0.85
1729,2010/2011,9825,Arsenal,1.74,1.45,2.05,0.85
1729,2010/2011,8668,Everton,1.63,1.45,1.05,0.85
1729,2010/2011,10261,"Newcastle United",2.16,1.45,0.79,0.85
1729,2010/2011,9879,Fulham,1.58,1.45,1.00,0.85
1729,2010/2011,8483,Blackpool,1.58,1.45,1.32,0.85
1729,2010/2011,8658,"Birmingham City",1.00,1.45,0.95,0.85
1729,2010/2011,8659,"West Bromwich Albion",1.58,1.45,1.37,0.85
1729,2010/2011,8654,"West Ham United",1.26,1.45,1.00,0.85
1729,2010/2011,10194,"Stoke City",1.63,1.45,0.79,0.85
1729,2010/2011,8456,"Manchester City",1.79,1.45,1.37,0.85
1729,2011/2012,8655,"Blackburn Rovers",1.37,1.45,1.16,1.40
1729,2011/2012,9879,Fulham,1.89,1.45,0.63,1.40
1729,2011/2012,8650,Liverpool,1.26,1.45,1.21,1.40
1729,2011/2012,8456,"Manchester City",2.89,1.45,2.00,1.40
1729,2011/2012,10261,"Newcastle United",1.53,1.45,1.42,1.40
1729,2011/2012,10172,"Queens Park Rangers",1.26,1.45,1.00,1.40
1729,2011/2012,10194,"Stoke City",1.32,1.45,0.58,1.40
1729,2011/2012,8586,"Tottenham Hotspur",2.05,1.45,1.42,1.40
1729,2011/2012,8659,"West Bromwich Albion",1.11,1.45,1.26,1.40
1729,2011/2012,8528,"Wigan Athletic",1.16,1.45,1.05,1.40
1729,2011/2012,8455,Chelsea,2.16,1.45,1.26,1.40
1729,2011/2012,8668,Everton,1.47,1.45,1.16,1.40
1729,2011/2012,9850,"Norwich City",1.47,1.45,1.26,1.40
1729,2011/2012,8472,Sunderland,1.37,1.45,1.00,1.40
1729,2011/2012,10003,"Swansea City",1.42,1.45,0.89,1.40
1729,2011/2012,9825,Arsenal,2.05,1.45,1.84,1.40
1729,2011/2012,10252,"Aston Villa",1.05,1.45,0.89,1.40
1729,2011/2012,8559,"Bolton Wanderers",1.21,1.45,1.21,1.40
1729,2011/2012,10260,"Manchester United",2.74,1.45,1.95,1.40
1729,2011/2012,8602,"Wolverhampton Wanderers",1.00,1.45,1.11,1.40
1729,2012/2013,9825,Arsenal,2.47,1.45,1.32,1.15
1729,2012/2013,8668,Everton,1.74,1.45,1.16,1.15
1729,2012/2013,9879,Fulham,1.47,1.45,1.16,1.15
1729,2012/2013,8456,"Manchester City",2.16,1.45,1.32,1.15
1729,2012/2013,10261,"Newcastle United",1.26,1.45,1.11,1.15
1729,2012/2013,10172,"Queens Park Rangers",0.68,1.45,0.89,1.15
1729,2012/2013,9798,Reading,1.21,1.45,1.05,1.15
1729,2012/2013,8659,"West Bromwich Albion",1.68,1.45,1.11,1.15
1729,2012/2013,8654,"West Ham United",1.79,1.45,0.58,1.15
1729,2012/2013,8528,"Wigan Athletic",1.37,1.45,1.11,1.15
1729,2012/2013,8650,Liverpool,1.74,1.45,2.00,1.15
1729,2012/2013,10260,"Manchester United",2.37,1.45,2.16,1.15
1729,2012/2013,9850,"Norwich City",1.32,1.45,0.84,1.15
1729,2012/2013,8472,Sunderland,1.05,1.45,1.11,1.15
1729,2012/2013,10003,"Swansea City",1.47,1.45,1.00,1.15
1729,2012/2013,8586,"Tottenham Hotspur",1.53,1.45,1.95,1.15
1729,2012/2013,10252,"Aston Villa",1.21,1.45,1.26,1.15
1729,2012/2013,8455,Chelsea,2.16,1.45,1.79,1.15
1729,2012/2013,8466,Southampton,1.37,1.45,1.21,1.15
1729,2012/2013,10194,"Stoke City",1.11,1.45,0.68,1.15
1729,2013/2014,9825,Arsenal,1.89,1.45,1.68,0.75
1729,2013/2014,8455,Chelsea,2.26,1.45,1.47,0.75
1729,2013/2014,9826,"Crystal Palace",0.95,1.45,0.79,0.75
