team_api_id,league_id,name,team_long_name,Build Up Play Speed,Build Up Play Dribbling,Build Up Play Passing,Chance Creation Passing,Chance Creation Crossing,Chance Creation Shooting,Defence Pressure,Defence Aggression,Defence Team Width
9827,4769,France Ligue 1,Girondins de Bordeaux,51.17,14.83,38,52.67,60.17,55.33,48.67,48.67,55.17
7819,4769,France Ligue 1,SM Caen,58.33,16.67,43.17,46.17,57.67,52.83,50.83,47.33,56.5
9746,4769,France Ligue 1,Le Havre AC,48.17,18.67,50.5,50.17,52.67,56.33,43.83,55.83,52.83
9831,4769,France Ligue 1,OGC Nice,52,19.33,61.83,51,54.83,45,51.67,50.5,59.67
8682,4769,France Ligue 1,Le Mans FC,62.75,0,47.25,57,65.25,57.5,56,50.75,51.75
8689,4769,France Ligue 1,FC Lorient,52.83,16.33,46.83,50.33,52,54.67,50.83,48.67,55.67
9748,4769,France Ligue 1,Olympique Lyonnais,53.5,20,49.67,52.67,51.83,69.67,49.83,48.83,53.83
9941,4769,France Ligue 1,Toulouse FC,49.33,18.67,55.33,50.5,42.67,44.17,34.83,47.83,46
9829,4769,France Ligue 1,AS Monaco,51.33,18.33,48.67,49.17,42.83,38.17,44.33,47.33,54
9847,4769,France Ligue 1,Paris Saint-Germain,46.83,19.5,45.17,53.83,54.33,54.67,54.5,53.83,58.5
8481,4769,France Ligue 1,AS Nancy-Lorraine,49.33,16,45.17,50.5,57.83,55.5,46.17,51.5,53.33
8639,4769,France Ligue 1,LOSC Lille,48.83,16.83,45.83,60.33,55.5,52.67,55.5,51.17,47
9851,4769,France Ligue 1,Stade Rennais FC,61.83,20.67,40.67,55.17,55.5,63.5,51.5,48.5,56.5
8592,4769,France Ligue 1,Olympique de Marseille,53,23.17,45.17,55.17,66,60.17,50.67,52.83,59.17
9874,4769,France Ligue 1,FC Sochaux-Montbéliard,61.33,20.67,46,53.67,61.5,46.83,54.33,42.83,54.33
9855,4769,France Ligue 1,Grenoble Foot 38,60,0,60,57.5,55,60,57.5,50,60
9873,4769,France Ligue 1,Valenciennes FC,53.5,19.67,54,50.67,65.83,57.33,42.5,52.67,48.17
9853,4769,France Ligue 1,AS Saint-Étienne,57.33,18.33,51.33,47,57.5,55.5,36.33,43,49
8588,4769,France Ligue 1,RC Lens,58.5,16,46.17,51,54.5,47.67,49.17,48.5,52.67
10249,4769,France Ligue 1,Montpellier Hérault SC,49.17,16.83,48.5,47,46.83,53.5,46.5,53.83,50.83
4170,4769,France Ligue 1,US Boulogne Cote D'Opale,48,0,34,39,59,58.33,50,53,67
108893,4769,France Ligue 1,AC Arles-Avignon,43.17,15.67,53.17,46,38.33,39.5,38.33,46,46.33
8521,4769,France Ligue 1,Stade Brestois 29,59.33,16,49.83,46,52.83,62.33,50.17,41.83,56.5
8576,4769,France Ligue 1,AC Ajaccio,60.17,19,48.83,50.33,40.67,52.17,37.83,50.5,48.67
4087,4769,France Ligue 1,Évian Thonon Gaillard FC,52,17.2,50.6,51.6,58.2,58.4,46.6,53.2,53
9836,4769,France Ligue 1,Dijon FCO,54,18,47.67,47.67,52.17,52.17,40.83,48.17,52
9837,4769,France Ligue 1,Stade de Reims,50.6,19,48.6,51.4,51.6,51.6,35.4,44.2,50
7794,4769,France Ligue 1,SC Bastia,53.6,24.4,48,52.4,47.8,50.2,48.2,52.4,53.2
10242,4769,France Ligue 1,ES Troyes AC,46.2,19.2,50.8,51.6,49.2,45,43.4,42.6,51.6
9747,4769,France Ligue 1,En Avant de Guingamp,53,19,46.4,49.2,51.6,52.2,40.2,49,45.2
8550,4769,France Ligue 1,FC Metz,55,18,48.4,45.8,57.4,54.8,39.2,46.4,47.4
8121,4769,France Ligue 1,Angers SCO,51,20.33,47.5,44.83,53.83,52.83,41.83,46,47.33
6391,4769,France Ligue 1,GFC Ajaccio,54.5,26.5,52,55,59.5,56.5,44.5,46,53
9823,7809,Germany 1. Bundesliga,FC Bayern Munich,48.67,9.67,35.17,38.5,40.67,49.67,57.17,48.83,55.17
9790,7809,Germany 1. Bundesliga,Hamburger SV,48.17,19.5,46.17,57.83,60.5,53.33,53.17,42.5,55
8178,7809,Germany 1. Bundesliga,Bayer 04 Leverkusen,66.83,9.83,48,59,55.83,53,57.67,49.5,53.17
9789,7809,Germany 1. Bundesliga,Borussia Dortmund,72.5,11.67,46.5,65,44.5,66.33,59.33,69.17,46
10189,7809,Germany 1. Bundesliga,FC Schalke 04,55.83,16.17,47,56.17,60.5,53,50.17,54,49.83
9904,7809,Germany 1. Bundesliga,Hannover 96,58.17,18.33,53.5,54.17,45.5,50.5,43.17,49.67,55.67
8721,7809,Germany 1. Bundesliga,VfL Wolfsburg,61.33,18.67,51.33,67,58.33,57.17,55,47.17,53
8722,7809,Germany 1. Bundesliga,1. FC Köln,57.33,16.67,61.17,55.17,41.67,59,45,51.17,60.83
9810,7809,Germany 1. Bundesliga,Eintracht Frankfurt,50.83,14.83,37.67,49.17,55,48.17,49.33,43,53.17
8177,7809,Germany 1. Bundesliga,Hertha BSC Berlin,53.67,16,50.5,53.17,54.83,55.67,49.33,44.33,54.67
9912,7809,Germany 1. Bundesliga,DSC Arminia Bielefeld,49.33,16.33,59.33,48.67,51.33,48,39.67,47.33,49.33
8697,7809,Germany 1. Bundesliga,SV Werder Bremen,58.67,18.33,43.83,63.17,53.17,61.5,57.67,51.67,64.17
8398,7809,Germany 1. Bundesliga,FC Energie Cottbus,49.6,9.4,49.2,49.4,58.8,51.8,57.4,53.4,52.8
8226,7809,Germany 1. Bundesliga,TSG 1899 Hoffenheim,62.5,16.33,47.83,59,55,59.17,57.67,58.17,49
9788,7809,Germany 1. Bundesliga,Borussia Mönchengladbach,53.83,17.67,43.17,51,44.83,51.5,42.33,48.67,45.5
10269,7809,Germany 1. Bundesliga,VfB Stuttgart,59.33,19.33,42.5,58.67,64.33,55.83,48.5,50,42
8295,7809,Germany 1. Bundesliga,Karlsruher SC,57.4,21.4,47.4,60,51,54.6,43.4,44.8,45.4
9911,7809,Germany 1. Bundesliga,VfL Bochum,48.67,15.33,53.67,54.83,49.33,46.33,42.33,54.33,50.33
8358,7809,Germany 1. Bundesliga,SC Freiburg,51.5,18.67,43.67,50.67,46.17,44.67,48.5,54.33,40.67
8165,7809,Germany 1. Bundesliga,1. FC Nürnberg,45.33,20,47.5,50.5,53,59.17,43.33,50.5,44
9905,7809,Germany 1. Bundesliga,1. FSV Mainz 05,61.83,16.17,51.5,53,47.67,54.5,52.5,62.5,49.67
8350,7809,Germany 1. Bundesliga,1. FC Kaiserslautern,51.17,17,51.67,47.17,62,59.67,46.83,52.83,55.17
